note,type
Notice::Tally,event
Weird::Activity,alert
Signatures::Sensitive_Signature,alert
Signatures::Multiple_Signatures,alert
Signatures::Multiple_Sig_Responders,alert
Signatures::Count_Signature,alert
Signatures::Signature_Summary,event
PacketFilter::Compile_Failure,alert
PacketFilter::Install_Failure,alert
PacketFilter::Too_Long_To_Compile_Filter,alert
PacketFilter::Dropped_Packets,alert
ProtocolDetector::Protocol_Found,alert
ProtocolDetector::Server_Found,alert
Intel::Notice,alert
TeamCymruMalwareHashRegistry::Match,alert
PacketFilter::No_More_Conn_Shunts_Available,alert
PacketFilter::Cannot_BPF_Shunt_Conn,alert
Software::Software_Version_Change,alert
Software::Vulnerable_Version,alert
CaptureLoss::Too_Much_Loss,alert
Traceroute::Detected,alert
Scan::Address_Scan,alert
Scan::Port_Scan,alert
Conn::Retransmission_Inconsistency,alert
Conn::Ack_Above_Hole,alert
Conn::Content_Gap,alert
DNS::External_Name,alert
FTP::Bruteforcing,alert
FTP::Site_Exec_Success,alert
HTTP::SQL_Injection_Attacker,alert
HTTP::SQL_Injection_Victim,alert
SMTP::Blocklist_Error_Message,alert
SMTP::Blocklist_Blocked_Host,alert
SMTP::Suspicious_Origination,alert
SSH::Password_Guessing,alert
SSH::Login_By_Password_Guesser,alert
SSH::Watched_Country_Login,alert
SSH::Interesting_Hostname_Login,alert
SSL::Certificate_Expired,alert
SSL::Certificate_Expires_Soon,alert
SSL::Certificate_Not_Valid_Yet,alert
Heartbleed::SSL_Heartbeat_Attack,alert
Heartbleed::SSL_Heartbeat_Attack_Success,alert
Heartbleed::SSL_Heartbeat_Odd_Length,alert
Heartbleed::SSL_Heartbeat_Many_Requests,alert
SSL::Invalid_Server_Cert,alert
SSL::Invalid_Ocsp_Response,alert
SSL::Weak_Key,alert
SSL::Old_Version,alert
SSL::Weak_Cipher,alert
BroxygenExample::Broxygen_One,alert
BroxygenExample::Broxygen_Two,alert
BroxygenExample::Broxygen_Three,alert
BroxygenExample::Broxygen_Four,alert
"",unknwon